id,date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
123,2020-03-02,1748.9048668039327,2309.4491031656835
123,2020-03-03,2252.5616286758573,3253.4745577466824
123,2020-03-04,2885.139690416387,4522.921927523892
123,2020-03-05,3649.5399175583807,6261.618826469976
123,2020-03-06,4646.848525829664,8684.132192671917
123,2020-03-07,5952.349967651652,12063.350613274659
123,2020-03-08,7482.3850098369185,16858.12118400946
123,2020-03-09,9174.529398802852,22941.305381770282
123,2020-03-10,11065.931356493335,31118.212341982337
123,2020-03-11,12989.737894448905,41554.04788284817
123,2020-03-12,15341.786221156564,55797.075680062306
123,2020-03-13,18111.528888445187,74830.33580161326
123,2020-03-14,21451.81759266723,100334.55825037815
123,2020-03-15,25733.537902371463,135021.7884046632
123,2020-03-16,30238.056327514845,177529.86807218194
123,2020-03-17,35541.42203474855,231741.37025860956
123,2020-03-18,41328.178098129276,297499.94191543566
123,2020-03-19,48570.535056061046,382122.7041534315
123,2020-03-20,57278.45343149966,487696.3766500739
123,2020-03-21,67909.4304056972,617826.3698097921
123,2020-03-22,75028.55010821945,776819.076433256
123,2020-03-23,81450.13951132477,949929.7776692328
123,2020-03-24,88291.56878866006,1140427.3383113453
123,2020-03-25,94767.91985794394,1334964.7607707782
123,2020-03-26,102444.09602818589,1538864.7030458834
123,2020-03-27,110964.47664148733,1740896.8613982594
123,2020-03-28,120530.54125105363,1935775.1575260924
123,2020-03-29,131701.08523105696,2121605.408532803
123,2020-03-30,141988.81370846578,2282443.2987340908
123,2020-03-31,152942.46653978713,2426822.393042644
123,2020-04-01,163423.11306437443,2550360.469474118
123,2020-04-02,175747.7466242932,2661226.8958625486
123,2020-04-03,189367.2334031219,2756626.6018014997
123,2020-04-04,204568.6178543572,2837250.6569214575
123,2020-04-05,222164.89292301692,2904754.823994714
123,2020-04-06,238424.14045588314,2956335.07773552
124,2020-02-26,310,310
124,2020-02-27,476.86275896613296,481.03066132263865
124,2020-02-28,581.5136116541636,591.303662701719
124,2020-02-29,731.7278609097079,748.6268928600392
124,2020-03-01,1024.8099917496136,921.0561581784877
124,2020-03-02,1413.4293813636007,1122.7016259997972
124,2020-03-03,1964.7629041575606,1390.6754820243598
124,2020-03-04,2755.0485843880647,1748.0332072411052
124,2020-03-05,3857.404479703611,2163.1081681997957
124,2020-03-06,5314.843919014724,2648.4760773243643
124,2020-03-07,7214.430070329716,3210.7708738334327
124,2020-03-08,9232.349668234763,4003.2152504294077
124,2020-03-09,11358.060148058481,4755.572035105445
124,2020-03-10,13613.354332771512,5728.943946745363
124,2020-03-11,16287.020455190683,6905.200351091344
124,2020-03-12,19717.966934599186,8398.681721376144
124,2020-03-13,23425.31732084792,9998.137221511894
124,2020-03-14,27451.71153423429,11735.256679583563
124,2020-03-15,33016.72227529402,14204.605665946625
124,2020-03-16,38386.28901336989,16553.24378282676
124,2020-03-17,44917.30359697077,19430.91303525958
124,2020-03-18,52743.383968528455,22880.102720040246
124,2020-03-19,62891.2463264005,27399.779138474805
124,2020-03-20,73985.80456845029,32365.846708645768
124,2020-03-21,86128.2506530699,37861.904440016195
124,2020-03-22,94647.45536110373,45325.618391334785
124,2020-03-23,101089.41284670854,52746.808159724445
124,2020-03-24,108489.42864271362,61821.02479704452
124,2020-03-25,116743.40636189061,72814.03969402885
124,2020-03-26,127014.03602699055,87045.83561278773
124,2020-03-27,136588.04293752305,102748.85295140369
124,2020-03-28,145536.42465481238,119965.02997920239
124,2020-03-29,157590.66747968848,142961.8098323672
124,2020-03-30,166919.4288833644,165580.30078242454
124,2020-03-31,177491.57076457268,192582.80733639607
124,2020-04-01,189177.19910610883,224449.09246335312
124,2020-04-02,203532.73312896697,264507.3305055575
124,2020-04-03,216912.4107594131,307318.90514639625
124,2020-04-04,229414.1105067986,352740.7473538751
124,2020-04-05,245980.86100109085,411147.38283018477
124,2020-04-06,258898.30528452122,466406.3784540024
125,2020-02-26,310,310
125,2020-02-27,518.1590361401013,536.0822156125067
125,2020-02-28,726.410522114652,774.539863926913
125,2020-02-29,1038.749741483432,1134.2550799457986
125,2020-03-01,1406.323140013918,1672.3725890239793
125,2020-03-02,1794.1540227805533,2307.1740675246356
125,2020-03-03,2371.3016558148815,3277.4375858379785
125,2020-03-04,3089.705258892787,4557.333177256087
125,2020-03-05,3960.9641278198887,6269.389437154711
125,2020-03-06,5143.309396526534,8690.40814975921
125,2020-03-07,6645.33113906578,11925.97539650536
125,2020-03-08,8397.840496788453,17015.30721678698
125,2020-03-09,9892.728863984647,22564.487772227265
125,2020-03-10,11702.125892708336,30731.005876658444
125,2020-03-11,13720.006478280733,40961.606350621056
125,2020-03-12,16110.943505811792,54675.18197316151
125,2020-03-13,19034.02996671993,73439.92512138914
125,2020-03-14,22349.983781276358,97866.69827795403
125,2020-03-15,27410.900438290635,135165.627490745
125,2020-03-16,31593.34509654031,175352.61010475244
125,2020-03-17,37454.91039379639,232137.5762133365
125,2020-03-18,43697.6551470841,300578.0540012767
125,2020-03-19,51305.49859323694,387665.37362822425
125,2020-03-20,60816.927988454285,498548.69581303623
125,2020-03-21,71838.96657281865,630287.7294267359
125,2020-03-22,81225.28107551023,805803.2183170257
125,2020-03-23,86787.07259644788,971089.2668275775
125,2020-03-24,94949.6210487918,1167136.5976323406
125,2020-03-25,102317.29151697861,1361541.2357074146
125,2020-03-26,110605.22399076598,1560345.5029596833
125,2020-03-27,120371.09415547592,1759822.9943171556
125,2020-03-28,130357.44231049134,1945623.959276301
125,2020-03-29,145378.60785079878,2138098.7247297075
